server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh
speedtest.telecom.mu:5202,1771822616.1035228,6.771,62560006.89710837,62.560006897108366,32537733,17,915,0.915,243,0,2,0,1458554060,196498124,16
speedtest.telecom.mu:5202,1771822617.242503,7.91,47405075.487434246,47.405075487434246,39286913,21,1914,1.914,320,0,2,0,862046023,468523148,16
speedtest.telecom.mu:5202,1771822618.3934894,9.061,31665116.941544503,31.665116941544504,43842678,19,903,0.903,225,0,2,0,1652705022,212262560,16
speedtest.telecom.mu:5202,1771822620.1083438,10.776,21537570.946001466,21.537570946001466,48459403,10,876,0.876,367,0,2,0,896387851,75528258,16
speedtest.telecom.mu:5202,1771822621.3305714,11.999,29835936.280437283,29.835936280437284,53017691,10,816,0.816,155,0,2,0,962101010,216472727,16
speedtest.telecom.mu:5202,1771822622.9025242,13.57,23678756.468124967,23.678756468124966,57670427,12,891,0.891,151,0,2,0,1058014249,122169776,16
speedtest.telecom.mu:5202,1771822624.1500938,14.818,28664072.223117534,28.664072223117532,62140480,12,565,0.565,101,0,2,0,1666734776,377423631,16
speedtest.telecom.mu:5202,1771822625.902745,16.571,17634983.927512858,17.63498392751286,66003977,18,1103,1.103,428,0,2,0,1281769642,203574093,16
speedtest.telecom.mu:5202,1771822627.6314862,18.299,7280266.2572421,7.280266257242101,67577189,10,1290,1.29,399,0,2,0,609026157,148994311,16
160.242.19.254:9221,1771822647.4474945,1.184,25215351.55985729,25.21535155985729,3732341,22,936,0.936,472,0,0,0,1846709787,217913477,22
160.242.19.254:9221,1771822648.4805734,2.217,94928028.39474761,94.92802839474761,15990859,22,739,0.739,179,0,0,0,2336939776,147650507,22
160.242.19.254:9221,1771822649.5192373,3.256,127958540.37974949,127.9585403797495,32604098,22,881,0.881,309,0,0,0,1961147135,105504296,22
160.242.19.254:9221,1771822650.5610852,4.298,122285107.63203028,122.28510763203028,48529409,22,622,0.622,177,0,0,0,2777110361,212837486,22
160.242.19.254:9221,1771822651.6361077,5.373,126069418.23547412,126.06941823547413,65470341,22,720,0.72,185,0,0,0,2400209927,183768942,22
160.242.19.254:9221,1771822652.669624,6.406,126567620.12909417,126.56762012909417,81821555,22,767,0.767,191,0,0,0,2251344554,142820065,22
160.242.19.254:9221,1771822653.7658815,7.503,126737886.45959309,126.73788645959308,99188724,22,697,0.697,108,0,0,0,2479829585,165570164,22
160.242.19.254:9221,1771822654.8206818,8.557,127493634.17071697,127.49363417071697,115998764,15,666,0.666,174,0,1,0,1769478701,224641509,15
160.242.19.254:9221,1771822655.821474,9.558,116514185.89569393,116.51418589569393,130574576,15,672,0.672,85,0,1,0,1753030674,162690683,15
160.242.19.254:9221,1771822656.8653734,10.602,126437330.00779504,126.43733000779504,147073056,15,740,0.74,129,0,1,0,1592291793,300380733,15
160.242.19.254:9221,1771822657.9262474,11.663,124955930.523357,124.955930523357,163643368,15,757,0.757,186,0,1,0,1555774954,196941353,15
160.242.19.254:9221,1771822659.026259,12.763,133452841.51168098,133.452841511681,181993327,15,736,0.736,127,0,1,0,1601214467,186031250,15
160.242.19.254:9221,1771822660.0590932,13.796,138328025.3004572,138.3280253004572,199852068,15,706,0.706,111,0,1,0,1668061560,165361111,15
160.242.19.254:9221,1771822661.0713,14.808,131485369.33615075,131.48536933615074,216488366,10,610,0.61,116,0,2,0,1286871647,168120667,10
160.242.19.254:9221,1771822662.0883079,15.825,139782853.30731708,139.78285330731708,234258398,10,695,0.695,173,0,2,0,1130031997,163707500,10
160.242.19.254:9221,1771822663.154643,16.891,132751547.38611087,132.75154738611087,251953104,10,286,0.286,125,0,2,0,2743940637,813453416,10
160.242.19.254:9221,1771822664.2068417,17.943,125644974.16376944,125.64497416376943,268478538,7,644,0.644,102,0,3,0,853629020,426877444,7
160.242.19.254:9221,1771822665.2566772,18.993,118279954.0339484,118.2799540339484,284000349,7,753,0.753,298,0,3,0,729639794,103367008,7
86.96.154.106:7008,1771822670.2729225,1.869,15700881.652723303,15.700881652723304,3667475,10,1253,1.253,537,0,0,0,627006582,118093778,19
86.96.154.106:7008,1771822671.2953517,2.891,98730190.07324865,98.73019007324865,16285554,19,708,0.708,92,0,0,0,2106171609,251213554,19
86.96.154.106:7008,1771822672.2993848,3.895,92499278.20777448,92.49927820777448,27894596,19,748,0.748,62,0,0,0,1994672545,252830115,19
86.96.154.106:7008,1771822673.3380544,4.934,99370395.91140035,99.37039591140035,40796222,19,511,0.511,87,0,0,0,2918890322,445462585,19
86.96.154.106:7008,1771822674.4063246,6.002,101989095.40116903,101.98909540116904,54415211,19,674,0.674,232,0,0,0,2212689736,193355314,19
86.96.154.106:7008,1771822675.4180434,7.014,93203293.8996139,93.2032938996139,66202151,19,1042,1.042,120,0,0,0,1432317927,157790361,19
86.96.154.106:7008,1771822676.497987,8.094,105025553.20648214,105.02555320648214,80379861,19,704,0.704,102,0,0,0,2118123638,211919093,19
86.96.154.106:7008,1771822677.5387945,9.135,96716890.87041993,96.71689087041993,92962819,19,792,0.792,91,0,1,0,1883333207,340171428,19
86.96.154.106:7008,1771822678.6030123,10.199,104522024.89682777,104.52202489682777,106867094,19,905,0.905,379,0,2,0,1649054148,184329345,19
86.96.154.106:7008,1771822679.649823,11.246,98833945.06427443,98.83394506427443,119799647,19,730,0.73,86,0,2,0,2043822587,186295874,19
86.96.154.106:7008,1771822680.7028887,12.299,92853451.46702445,92.85345146702444,132022246,19,765,0.765,73,0,2,0,1951012610,203153050,19
86.96.154.106:7008,1771822681.7387009,13.334,99207317.69807373,99.20731769807372,144867264,19,818,0.818,101,0,2,0,1823805038,217310840,19
86.96.154.106:7008,1771822682.7787437,14.374,99560864.5280497,99.5608645280497,157810710,19,776,0.776,74,0,2,0,1923365410,169865110,19
86.96.154.106:7008,1771822683.8275785,15.423,100225446.30271244,100.22544630271244,170950702,19,774,0.774,124,0,2,0,1927400225,190357558,19
86.96.154.106:7008,1771822684.8869517,16.483,99083871.39851278,99.08387139851278,184071551,21,1063,1.063,311,0,2,0,1551642313,193165191,19
86.96.154.106:7008,1771822685.9269698,17.523,99243074.5384315,99.2430745384315,196973375,21,727,0.727,171,0,2,0,2267887442,209545600,19
86.96.154.106:7008,1771822686.9887507,18.585,103597694.15431155,103.59769415431155,210723132,14,1221,1.221,491,0,3,0,900717961,356531760,14
86.96.154.106:7008,1771822688.024186,19.62,98219732.1723058,98.2197321723058,223435653,14,1015,1.015,1314,0,3,0,1083189563,867324503,14
105.235.237.2:5208,1771822696.2004333,1.771,16283615.069724083,16.283615069724082,3604442,21,870,0.87,1364,0,0,0,1896476483,1700857142,20
105.235.237.2:5208,1771822697.2516499,2.822,58602438.22607403,58.602438226074035,11304924,18,888,0.888,168,0,0,0,1592829729,248669620,20
105.235.237.2:5208,1771822698.333014,3.903,65936041.6955505,65.9360416955505,20217533,18,783,0.783,152,0,0,0,1804411162,122398130,20
105.235.237.2:5208,1771822699.34933,4.92,70676683.67874357,70.67668367874357,29196263,18,649,0.649,54,0,0,0,2178983708,219006688,20
105.235.237.2:5208,1771822700.4292102,6.0,75253574.58356947,75.25357458356947,39354369,18,639,0.639,85,0,0,0,2213509859,202733746,20
105.235.237.2:5208,1771822701.5072832,7.078,66624414.44230772,66.62441444230772,48332617,18,723,0.723,161,0,0,0,1955662357,152641025,20
105.235.237.2:5208,1771822702.526127,8.097,68875493.82328814,68.87549382328814,57104289,18,716,0.716,190,0,0,0,1975464804,139473908,20
105.235.237.2:5208,1771822703.540009,9.11,71183831.61831465,71.18383161831466,66125789,18,770,0.77,122,0,0,0,1835138241,263336461,20
105.235.237.2:5208,1771822704.6092331,10.18,76002123.91564383,76.00212391564382,76283702,18,667,0.667,75,0,0,0,2117810668,182403899,20
105.235.237.2:5208,1771822705.682479,11.253,65950210.46325385,65.95021046325385,85131300,18,786,0.786,245,0,0,0,1798388811,125206500,20
105.235.237.2:5208,1771822706.7756426,12.346,64027129.84480337,64.02712984480337,93880317,18,766,0.766,127,0,0,0,1845614483,195180327,20
105.235.237.2:5208,1771822707.9757612,13.546,67495292.4934189,67.4952924934189,104005611,18,851,0.851,306,0,0,0,1662083196,198433333,20
105.235.237.2:5208,1771822709.0621297,14.633,65635227.83472444,65.63522783472445,112918617,18,781,0.781,121,0,0,0,1809605373,183683029,20
105.235.237.2:5208,1771822710.1997068,15.77,71436250.85279116,71.43625085279116,123076647,18,856,0.856,118,0,0,0,1650687439,301071264,20
105.235.237.2:5208,1771822711.2767987,16.847,64492374.250614755,64.49237425061476,131759674,18,803,0.803,91,0,0,0,1760887394,178915300,20
105.235.237.2:5208,1771822712.4568355,18.027,59539133.863590434,59.539133863590436,140541970,18,664,0.664,118,0,0,0,2128166710,256293542,20
105.235.237.2:5208,1771822713.5054536,19.076,69247137.26320834,69.24713726320834,149618695,12,873,0.873,411,0,1,0,1080131958,337541237,12
