server,timestamp,elapsed_s,goodput_bps,goodput_mbps,bytes_acked,snd_cwnd,rtt_us,rtt_ms,rttvar_us,retransmits,total_retrans,lost,pacing_rate,delivery_rate,snd_ssthresh,cc_algo
212.60.92.134:60001,1773105902.7185917,6.136,853777.9357662961,0.8537779357662961,404030,22,222802,222.802,2389,6,67,6,18446744073709551615,81302,11,mycc
212.60.92.134:60001,1773105904.5362756,7.954,981433.5515033673,0.9814335515033673,627022,26,224083,224.083,2217,2,95,2,18446744073709551615,134442,13,mycc
212.60.92.134:60001,1773105906.6539462,10.072,1011979.8918325442,1.0119798918325442,894902,31,224422,224.422,2785,4,135,4,18446744073709551615,156133,15,mycc
212.60.92.134:60001,1773105908.9455879,12.363,1283942.4175037418,1.2839424175037417,1262694,37,222844,222.844,1764,8,191,8,18446744073709551615,178703,18,mycc
212.60.92.134:60001,1773105910.206983,13.625,1992815.5491146215,1.9928155491146216,1576910,40,224159,224.159,2744,4,227,4,18446744073709551615,203655,20,mycc
212.60.92.134:60001,1773105911.8217413,15.24,1721719.0218207068,1.7217190218207068,1924430,44,223530,223.53,1584,9,268,9,18446744073709551615,207682,22,mycc
212.60.92.134:60001,1773105913.5690036,16.987,1843084.5280570546,1.8430845280570547,2326974,49,223438,223.438,1182,3,327,3,18446744073709551615,280849,24,mycc
212.60.92.134:60001,1773105914.9011815,18.319,1921713.3412740699,1.92171334127407,2646982,52,223920,223.92,2331,4,367,4,18446744073709551615,292761,26,mycc
212.60.92.134:60001,1773105916.3291926,19.747,2198346.9360958063,2.198346936095806,3039390,55,223047,223.047,2879,10,423,10,18446744073709551615,288779,27,mycc
212.60.92.134:60001,1773105918.0914142,21.509,2340173.3692353964,2.3401733692353965,3554878,59,224269,224.269,2051,7,489,7,18446744073709551615,309369,29,mycc
212.60.92.134:60001,1773105919.439501,22.857,2302902.0993363266,2.3029020993363267,3942942,62,224833,224.833,3864,8,533,8,18446744073709551615,352624,30,mycc
212.60.92.134:60001,1773105920.9988708,24.417,2993742.7238815064,2.9937427238815064,4526486,65,223952,223.952,3187,16,599,16,18446744073709551615,307220,32,mycc
212.60.92.134:60001,1773105922.4584286,25.876,960334.7172643993,0.9603347172643992,4701694,68,224618,224.618,2396,8,668,8,18446744073709551615,273640,33,mycc
212.60.92.134:60001,1773105923.7185538,27.136,4028755.365161197,4.028755365161197,5336286,70,224850,224.85,2565,11,725,11,18446744073709551615,369288,35,mycc
212.60.92.134:60001,1773105925.179501,28.597,2894122.2396488576,2.8941222396488575,5864806,73,227123,227.123,986,16,802,16,18446744073709551615,326313,36,mycc
212.60.92.134:60001,1773105926.8555567,30.273,2688559.861844721,2.6885598618447206,6428078,76,222760,222.76,1791,13,902,13,18446744073709551615,385094,37,mycc
212.60.92.134:60001,1773105928.84338,32.261,3275043.6975955125,3.2750436975955126,7241854,79,230843,230.843,6734,19,1018,19,18446744073709551615,359108,39,mycc
212.60.92.134:60001,1773105930.689577,34.107,2731599.959022211,2.731599959022211,7872238,83,233244,233.244,6388,14,1125,14,18446744073709551615,403643,41,mycc
212.60.92.134:60001,1773105932.1985114,35.616,3408562.0151504306,3.4085620151504306,8515150,86,231153,231.153,4677,17,1218,17,18446744073709551615,419992,42,mycc
212.60.92.134:60001,1773105933.2113004,36.629,1761409.316868274,1.761409316868274,8738142,88,230706,230.706,2574,11,1279,11,18446744073709551615,449237,43,mycc
212.60.92.134:60001,1773105935.065226,38.483,4705017.022355145,4.705017022355145,9828486,92,230041,230.041,2073,13,1394,13,18446744073709551615,486886,46,mycc
212.60.92.134:60001,1773105936.6807048,40.099,2968640.7128512627,2.9686407128512626,10427958,95,224110,224.11,1660,18,1513,18,18446744073709551615,484447,47,mycc
212.60.92.134:60001,1773105937.949931,41.368,4517776.711709546,4.517776711709546,11144718,97,225133,225.133,1007,19,1595,19,18446744073709551615,477642,48,mycc
212.60.92.134:60001,1773105939.8358548,43.254,3095743.214359092,3.095743214359092,11874510,101,224826,224.826,1575,15,1738,15,18446744073709551615,516614,49,mycc
105.235.237.2:5205,1773105959.7628129,1.217,990345.9991292377,0.9903459991292377,150630,100,307287,307.287,127,0,2,0,18446744073709551615,235666,2147483647,mycc
105.235.237.2:5205,1773105960.9947371,2.449,8415841.816334805,8.415841816334805,1446590,996,308884,308.884,295,0,2,0,18446744073709551615,2275257,2147483647,mycc
105.235.237.2:5205,1773105962.301551,3.756,24288200.987678736,24.288200987678735,5414110,2894,599451,599.451,5008,337,407,337,18446744073709551615,2841691,1447,mycc
105.235.237.2:5205,1773105963.7732487,5.227,20987181.505792476,20.987181505792478,9274958,2894,849340,849.34,19327,297,705,297,18446744073709551615,1425127,1447,mycc
105.235.237.2:5205,1773105965.313963,6.768,22692103.798102945,22.692103798102945,13645214,2894,781909,781.909,15742,443,1149,443,18446744073709551615,1758300,1447,mycc
105.235.237.2:5205,1773105967.4277725,8.882,30718104.62173256,30.718104621732557,21761742,2894,498435,498.435,68085,0,1846,0,18446744073709551615,1520931,1447,mycc
105.235.237.2:5205,1773105968.5469723,10.001,10660760.038651427,10.660760038651427,23253182,2894,568748,568.748,21235,698,2567,698,18446744073709551615,3003128,1447,mycc
105.235.237.2:5205,1773105970.300194,11.754,25434902.34102001,25.43490234102001,28827310,2894,811484,811.484,6263,368,3577,368,18446744073709551615,2929731,1447,mycc
105.235.237.2:5205,1773105971.8734844,13.327,20531218.563677534,20.531218563677534,32865006,2894,736626,736.626,3618,323,3955,323,18446744073709551615,3469426,1447,mycc
105.235.237.2:5205,1773105973.4086125,14.863,24082628.41390484,24.08262841390484,37486246,2894,547447,547.447,15297,818,4862,818,18446744073709551615,2911229,1447,mycc
105.235.237.2:5205,1773105975.6408682,17.095,19126812.42233662,19.12681242233662,42823238,2894,480841,480.841,52448,15,5684,15,18446744073709551615,54081,1447,mycc
105.235.237.2:5205,1773105977.4792662,18.933,31210547.788041707,31.21054778804171,49995414,2894,359665,359.665,6939,0,6384,0,18446744073709551615,1195797,1447,mycc
105.235.237.2:5205,1773105979.142605,20.597,14430040.688396512,14.430040688396511,52995670,2894,421888,421.888,872,64,7523,64,18446744073709551615,1741011,1447,mycc
105.235.237.2:5205,1773105980.4966245,21.951,22962010.67769457,22.962010677694572,56882046,2894,766233,766.233,3681,132,7655,132,18446744073709551615,3433030,1447,mycc
105.235.237.2:5205,1773105982.7487686,24.203,19372969.977047857,19.372969977047855,62335886,2894,298537,298.537,6071,156,8924,156,18446744073709551615,390150,1447,mycc
105.235.237.2:5205,1773105984.552237,26.006,22490529.093833596,22.490529093833594,67406006,2894,267280,267.28,4883,233,10322,233,18446744073709551615,432484,1447,mycc
105.235.237.2:5205,1773105985.8811607,27.335,24184527.633773778,24.18452763377378,71423430,2894,416513,416.513,35897,368,10783,368,18446744073709551615,1495317,1447,mycc
105.235.237.2:5205,1773105987.274405,28.728,28478819.51051613,28.47881951051613,76383174,2894,427124,427.124,5947,273,11408,273,18446744073709551615,1794614,1447,mycc
105.235.237.2:5205,1773105988.5785835,30.033,28117722.125801604,28.117722125801603,80966990,2894,757668,757.668,22998,393,11803,393,18446744073709551615,1729123,1447,mycc
105.235.237.2:5205,1773105989.9574356,31.411,26643843.257586252,26.64384325758625,85559230,2894,470584,470.584,2359,391,12264,391,18446744073709551615,1755688,1447,mycc
105.235.237.2:5205,1773105991.0560148,32.51,16438746.082926359,16.438746082926357,87816638,2894,792642,792.642,3675,1,12265,1,18446744073709551615,3651737,1447,mycc
105.235.237.2:5205,1773105992.9107642,34.365,20658298.716784094,20.658298716784092,92606134,2894,260302,260.302,2630,52,12813,52,18446744073709551615,881417,1447,mycc
105.235.237.2:5205,1773105994.6812692,36.135,25076434.81197883,25.076434811978828,98155878,2894,249595,249.595,761,222,14083,222,18446744073709551615,308942,1447,mycc
105.235.237.2:5205,1773105996.4568753,37.911,30146793.441407453,30.146793441407453,104846982,2894,260765,260.765,3732,56,14607,56,18446744073709551615,990023,1447,mycc
105.235.237.2:5205,1773105997.83015,39.284,16174501.858742405,16.174501858742406,107623486,2894,823906,823.906,6120,416,15695,416,18446744073709551615,2946255,1447,mycc
105.235.237.2:5205,1773105999.9754028,41.429,25978191.607118282,25.978191607118283,114589710,2894,269145,269.145,5360,30,16503,30,18446744073709551615,983398,1447,mycc
105.235.237.2:5205,1773106001.3748739,42.829,16207174.90975223,16.20717490975223,117424894,2894,848264,848.264,6181,381,17570,381,18446744073709551615,2915564,1447,mycc
105.235.237.2:5205,1773106003.502441,44.956,26297590.915070638,26.29759091507064,124418630,2894,281203,281.203,4875,12,18373,12,18446744073709551615,1451437,1447,mycc
speed.mymanga.pro:9215,1773106008.0960095,1.126,712880.9008213334,0.7128809008213334,100310,80,406620,406.62,4418,0,0,0,18446744073709551615,141627,2147483647,mycc
speed.mymanga.pro:9215,1773106009.3285525,2.358,5260798.239079553,5.260798239079553,910830,640,412249,412.249,9,0,0,0,18446744073709551615,1123956,2147483647,mycc
speed.mymanga.pro:9215,1773106011.4771328,4.507,19322213.721334886,19.322213721334887,6100246,2557,537552,537.552,7491,0,96,0,18446744073709551615,331920,1278,mycc
speed.mymanga.pro:9215,1773106013.2184546,6.248,21139766.32853047,21.13976632853047,10701638,2557,381399,381.399,6408,0,693,0,18446744073709551615,656485,1278,mycc
speed.mymanga.pro:9215,1773106014.246659,7.276,13868743.831871338,13.868743831871338,12484126,2557,374000,374.0,0,797,1707,797,18446744073709551615,3942604,1278,mycc
speed.mymanga.pro:9215,1773106015.4842372,8.514,32479952.787417844,32.479952787417844,17508686,2557,568089,568.089,6005,0,1716,0,18446744073709551615,2466350,1278,mycc
speed.mymanga.pro:9215,1773106016.4925067,9.522,25487914.457368415,25.487914457368415,20721022,2557,448237,448.237,28799,0,2108,0,18446744073709551615,894426,1278,mycc
speed.mymanga.pro:9215,1773106018.223477,11.253,21326417.51341634,21.326417513416338,25335446,2557,335459,335.459,2651,0,2732,0,18446744073709551615,708398,1278,mycc
speed.mymanga.pro:9215,1773106019.2621083,12.292,12268452.040797587,12.268452040797587,26928246,2557,399001,399.001,3,1000,3836,1000,18446744073709551615,485665,1278,mycc
speed.mymanga.pro:9215,1773106020.3904853,13.42,31506577.355347287,31.506577355347286,31372158,2557,402884,402.884,6103,0,4261,0,18446744073709551615,1902842,1278,mycc
speed.mymanga.pro:9215,1773106021.466241,14.496,22315195.092333723,22.315195092333724,34372870,2557,481333,481.333,4259,125,5033,125,18446744073709551615,5292479,1278,mycc
speed.mymanga.pro:9215,1773106023.1526234,16.182,31089240.43117225,31.08924043117225,40926414,2557,384650,384.65,619,0,5409,0,18446744073709551615,154725,1278,mycc
speed.mymanga.pro:9215,1773106024.173475,17.203,11753951.169672672,11.753951169672671,42426294,2557,334145,334.145,550,1065,6518,1065,18446744073709551615,1066654,1278,mycc
speed.mymanga.pro:9215,1773106025.3387046,18.368,26911339.280132473,26.911339280132474,46346030,2557,537778,537.778,6727,0,6583,0,18446744073709551615,2304709,1278,mycc
speed.mymanga.pro:9215,1773106026.6339478,19.664,20654677.587732237,20.654677587732237,49690134,2557,398179,398.179,22194,0,7067,0,18446744073709551615,247061,1278,mycc
speed.mymanga.pro:9215,1773106027.8141983,20.844,28203804.73778773,28.20380473778773,53851078,2557,567208,567.208,5534,0,8034,0,18446744073709551615,4791437,1278,mycc
speed.mymanga.pro:9215,1773106029.2568448,22.287,27694745.666727815,27.694745666727815,58845294,2557,338375,338.375,12317,0,8344,0,18446744073709551615,139753,1278,mycc
speed.mymanga.pro:9215,1773106030.8945928,23.924,23459687.283685043,23.459687283685042,63647926,2557,408242,408.242,36493,0,8736,0,18446744073709551615,49647,1278,mycc
speed.mymanga.pro:9215,1773106032.1014686,25.131,25473984.955472972,25.47398495547297,67490918,2557,549010,549.01,952,1,9627,1,18446744073709551615,4685227,1278,mycc
speed.mymanga.pro:9215,1773106033.1278865,26.158,22641661.257271767,22.641661257271767,70395894,2557,333366,333.366,951,415,10099,415,18446744073709551615,2785278,1278,mycc
